districtName,about,area,populateion,literacyRate,village,language
Araria,"Araria district is one of the thirty-eight districts of Bihar state, India, and Araria town is the administrative headquarter of this district. Araria district is a part of Purnea division. The district occupies an area of 2830 sq km. It has a view of Mount Kanchenjunga(One of the great peaks of the Himalayan range) This district has total 2 sub-divisions namely Araria and Forbesganj and 9 blocks. Araria sub-division comprises six blocks: Araria, Jokihat, Kursakanta, Raniganj, Sikti and Palasi and Forbesganj sub-division comprises three blocks: Forbesganj, Narpatganj and Bhargama.",2830 sq km,2811596,53.53%,751,"Hindi, Urdu"
Arwal,"Arwal district is one of the thirty-eight districts of Bihar state, India, with Arwal town as its administrative headquarter. It is part of the Magadh division and known for its agricultural economy.",637 sq km,700813,67.45%,350,"Hindi, Magahi"
Aurangabad,"Aurangabad district is one of the thirty-eight districts of Bihar state, India, with Aurangabad town as its administrative headquarter. It is part of the Magadh division and known for its historical significance.",3300 sq km,2540073,70.32%,900,"Hindi, Magahi"
Banka,"Banka district is one of the thirty-eight districts of Bihar state, India, with Banka town as its administrative headquarter. It is part of the Bhagalpur division and known for its natural resources.",3020 sq km,2034763,58.17%,800,"Hindi, Angika"
Begusarai,"Begusarai district is one of the thirty-eight districts of Bihar state, India, with Begusarai town as its administrative headquarter. It is part of the Munger division and known for its industrial activities.",1918 sq km,2970541,59.13%,600,"Hindi, Maithili"
Bhagalpur,"Bhagalpur district is one of the thirty-eight districts of Bihar state, India, with Bhagalpur city as its administrative headquarter. It is part of the Bhagalpur division and known for its silk industry.",2570 sq km,3037766,63.14%,650,"Hindi, Angika"
Bhojpur,"Bhojpur district is one of the thirty-eight districts of Bihar state, India, with Arrah as its administrative headquarter. It is part of the Patna division and known for its historical battles.",2390 sq km,2723407,70.45%,700,"Hindi, Bhojpuri"
Buxar,"Buxar district is one of the thirty-eight districts of Bihar state, India, with Buxar town as its administrative headquarter. It is part of the Patna division and known for its religious significance.",1700 sq km,1706352,67.21%,550,"Hindi, Bhojpuri"
Darbhanga,"Darbhanga district is one of the thirty-eight districts of Bihar state, India, with Darbhanga city as its administrative headquarter. It is part of the Darbhanga division and known for its cultural heritage.",2279 sq km,3937385,52.34%,800,"Hindi, Maithili"
East Champaran,"East Champaran district is one of the thirty-eight districts of Bihar state, India, with Motihari as its administrative headquarter. It is part of the Tirhut division and known for its agricultural productivity.",3968 sq km,5099371,55.79%,950,"Hindi, Bhojpuri"
Gaya,"Gaya district is one of the thirty-eight districts of Bihar state, India, with Gaya city as its administrative headquarter. It is part of the Magadh division and known for its religious tourism.",4976 sq km,4391383,63.67%,1000,"Hindi, Magahi"
Gopalganj,"Gopalganj district is one of the thirty-eight districts of Bihar state, India, with Gopalganj town as its administrative headquarter. It is part of the Saran division and known for its sugarcane production.",2033 sq km,2562012,65.47%,700,"Hindi, Bhojpuri"
Jamui,"Jamui district is one of the thirty-eight districts of Bihar state, India, with Jamui town as its administrative headquarter. It is part of the Munger division and known for its mineral resources.",3100 sq km,1760405,59.79%,600,"Hindi, Angika"
Jehanabad,"Jehanabad district is one of the thirty-eight districts of Bihar state, India, with Jehanabad town as its administrative headquarter. It is part of the Magadh division and known for its historical sites.",930 sq km,1125313,66.80%,400,"Hindi, Magahi"
Kaimur,"Kaimur district is one of the thirty-eight districts of Bihar state, India, with Bhabua as its administrative headquarter. It is part of the Patna division and known for its scenic hills.",3332 sq km,1626384,69.34%,550,"Hindi, Bhojpuri"
Katihar,"Katihar district is one of the thirty-eight districts of Bihar state, India, with Katihar town as its administrative headquarter. It is part of the Purnea division and known for its jute production.",3057 sq km,3071029,52.24%,750,"Hindi, Urdu"
Khagaria,"Khagaria district is one of the thirty-eight districts of Bihar state, India, with Khagaria town as its administrative headquarter. It is part of the Munger division and known for its flood-prone areas.",1486 sq km,1666686,57.92%,500,"Hindi, Maithili"
Kishanganj,"Kishanganj district is one of the thirty-eight districts of Bihar state, India, with Kishanganj town as its administrative headquarter. It is part of the Purnea division and known for its tea gardens.",1884 sq km,1690400,55.46%,600,"Hindi, Urdu"
Lakhisarai,"Lakhisarai district is one of the thirty-eight districts of Bihar state, India, with Lakhisarai town as its administrative headquarter. It is part of the Munger division and known for its archaeological sites.",1228 sq km,1000912,62.42%,450,"Hindi, Angika"
Madhepura,"Madhepura district is one of the thirty-eight districts of Bihar state, India, with Madhepura town as its administrative headquarter. It is part of the Kosi division and known for its fisheries.",1788 sq km,2001762,52.25%,550,"Hindi, Maithili"
Madhubani,"Madhubani district is one of the thirty-eight districts of Bihar state, India, with Madhubani town as its administrative headquarter. It is part of the Darbhanga division and known for its Mithila paintings.",3501 sq km,4487379,52.99%,900,"Hindi, Maithili"
Munger,"Munger district is one of the thirty-eight districts of Bihar state, India, with Munger town as its administrative headquarter. It is part of the Munger division and known for its historical forts.",1419 sq km,1367764,70.46%,500,"Hindi, Angika"
Muzaffarpur,"Muzaffarpur district is one of the thirty-eight districts of Bihar state, India, with Muzaffarpur city as its administrative headquarter. It is part of the Tirhut division and known for its litchi production.",3172 sq km,4801062,63.43%,800,"Hindi, Maithili"
Nalanda,"Nalanda district is one of the thirty-eight districts of Bihar state, India, with Bihar Sharif as its administrative headquarter. It is part of the Patna division and known for its ancient university.",2355 sq km,2877653,64.43%,700,"Hindi, Magahi"
Nawada,"Nawada district is one of the thirty-eight districts of Bihar state, India, with Nawada town as its administrative headquarter. It is part of the Magadh division and known for its agricultural fields.",2494 sq km,2219146,59.76%,600,"Hindi, Magahi"
Patna,"Patna district is one of the thirty-eight districts of Bihar state, India, with Patna city as its administrative headquarter. It is part of the Patna division and known as the capital of Bihar.",3202 sq km,5838465,70.68%,850,"Hindi, Magahi"
Purnia,"Purnia district is one of the thirty-eight districts of Bihar state, India, with Purnia town as its administrative headquarter. It is part of the Purnea division and known for its maize production.",3229 sq km,3264619,51.08%,750,"Hindi, Urdu"
Rohtas,"Rohtas district is one of the thirty-eight districts of Bihar state, India, with Sasaram as its administrative headquarter. It is part of the Patna division and known for its historical forts.",3850 sq km,2959918,73.37%,800,"Hindi, Bhojpuri"
Saharsa,"Saharsa district is one of the thirty-eight districts of Bihar state, India, with Saharsa town as its administrative headquarter. It is part of the Kosi division and known for its mango orchards.",1687 sq km,1900661,53.20%,600,"Hindi, Maithili"
Samastipur,"Samastipur district is one of the thirty-eight districts of Bihar state, India, with Samastipur town as its administrative headquarter. It is part of the Darbhanga division and known for its agricultural productivity.",2904 sq km,4261566,61.86%,750,"Hindi, Maithili"
Saran,"Saran district is one of the thirty-eight districts of Bihar state, India, with Chhapra as its administrative headquarter. It is part of the Saran division and known for its historical significance.",2641 sq km,3951862,65.96%,700,"Hindi, Bhojpuri"
